id_lieu|nom_lieu|settlement|desc_lieu|type_lieu|list_lieu|level1|level2
id_15484|TABASCARA||"
 TABASCARA, Rio de la Provincia y Gobierno de  Veragua  en el Reyno de Tierra-Firme, tiene su origen en las sierras de Guanico á la parte del Sur, y sale á este mar cerca de la punta Mala. "|Rio|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRNGVE00""> Veragua </district></placename>, <placename><district key=""AUPA0000"">Reyno de Tierra-Firme</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Veragua |{http://www.tei-c.org/ns/1.0}district|{'key': 'PRNGVE00'}"", ""Reyno de Tierra-Firme|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUPA0000'}""]"
id_15485|TABASCO|| TABASCO, Provincia y Alcaldía mayor del Gobierno de Yucatán y Campeche, confina por el N con el golfo de este nombre, por el E con Yucatán, por el Sur con la Provincia de Chiapa del Reyno de Guatemala, de quien, la separa una gran cordillera ó serranía de montes, y por el O con la de Oaxaca en Nueva España, tiene 40 leguas de largo y casi otras tantas de ancho, y el nombre le viene del Cazique señor de ella que se llamaba así quando la descubrieron y entraron en ella los Españoles mandados del célebre Hernán Cortés para conquistar la Nueva España: el año de 1525 la conquistó y veduxo á la obediencia de los Reyes de España el Capitán Vallecillo; es de temperamento cálido y húmedo, y la tierra baxa y llana, pero muy llena de bosques en que hay abundancia de cedros, palo de brasil y otras muchas maderas; es país mal sano por los vientos que corren y continuas lluvias en nueve meses del año; es muy fértil de frutas del país, como son mameyes, zapotes, aguacates, guayabas y otras muchas de delicado gusto, como también de las de Europa; produce mucho maiz, de que coge tres y quatro cosechas al año, arroz y cocos que envian á vender á la Vera-Cruz, legumbres, hortalizas y muchísimas yerbas medicinales, tabaco, y sobre todo cacao, que es el fruto mas abundante y de que hace su principal comercio, y en que pagaban los tributos sus naturales á los Emperadores de México; no es menos abundante la pimienta, que tiene mucha estimación, y de que hace gran saca para todas partes, aunque de inferior calidad á la de la India; la cria de ganados de toda especie ha multiplicado mucho en este país, y en sus bosques hay tigres, leopardos, dantas, javalíes pequeños, conejos, venados, monos, armadillos, tepeis, quintes semejantes á los gamos, pero chicos, y muchísimas aves, como faisanes, papagayos, codornices, gallinas, palomas, tórtolas y otras infinitas grandes y pequeñas: aunque hay con grande abundancia árboles de algodón no se coge este fruto, porque se lo comen antes de madurar los monos, ardillas y otros animalejos de que hay plaga, pero ninguna tan molesta como la de los mosquitos de diversas especies que apenas dexan vivir la gente, y no pueden dormir sino debaxo de pavellon á pesac del intenso calor que hace; riegan esta Provincia diferentes rios que la fertilizan, pero el mas considerable es el de su nombre: la Capital tiene el de nuestra Señora de la Victoria. |Provincia|"[<placename><district key=""SUGU0000"">Reyno de Guatemala</district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Reyno de Guatemala|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUGU0000'}"", ""Nueva España|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUNE0000'}""]"
id_15486|T||"
 Tiene el mismo nombre una Isla cerca de la Costa de la Provincia y Alcaldía mayor anterior, formada por el rio que desemboca allí al mar llamado de San Pedro y San Pablo, tiene 12 leguas de largo y 4 de ancho. "||[]|[]|[]
id_15487|U||"
 Un rio que sale al mar en el Seno ó Golfo Mexicano, y descubrió el Capitán Juan de Grijalva al O del de San Pedro y San Pablo. "|Golfo|[]|[]|[]
id_15488| TABATINGA, Barra de)||"
 TABATINGA, Barra de) Banco de arena cerca de la Costa de la Provincia y Capitanía de Todos Santos en el Brasil, entre la Villa de S. Antonio y el rio Lougoribo. "|Barra|[]|[]|[]
id_15489|TABAVELA||"
 TABAVELA, Pueblo de la Provincia y Corregimiento de Quito  en el distrito de las cinco leguas. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUQUQUQU"">Corregimiento de Quito </district></placename>, <placename><district key=""JUQUQUQU"">distrito de las cinco leguas</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Quito |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUQUQUQU'}"", ""distrito de las cinco leguas|{http://www.tei-c.org/ns/1.0}district|{'key': 'JUQUQUQU'}""]"
id_15490|TABAY||"
 TABAY, Pueblo del Gobierno y jurisdicción de Maracaibo en el Nuevo Reyno de Granada, es de temperamento templado, sano, ameno y fértil en trigo, arroz, maiz y demás frutos de su clima, tiene muchos molinos, trapiches y haciendas de ganado vacuno, y está muy inmediato á la Ciudad de Mérida en el camino que va á Barinas. "|Pueblo|"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15491|TABEGUA||"
 TABEGUA, Pueblo y Cabecera de partido de la Alcaldía mayor de Villalta  en Nueva España, es de temperamento cálido sin exceso, tiene 76 familias de Indios, y dista poco menos de 5 leguas de su Capital. "|Pueblo|"[<placename><rolename type=""alcaldia_mayor"">Alcaldía mayor</rolename> de <district key=""JUNEOAVA"">Villalta </district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Alcaldía mayor|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'alcaldia_mayor'}"", ""Villalta |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUNEOAVA'}"", ""Nueva España|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUNE0000'}""]"
id_15492|TABICAS||"
 TABICAS, Nación bárbara de Indios del Reyno del Perú, que habita al ENE de la de los Chiquitos y al Levante del rio Apure, son estos infieles feroces y traidores, no tienen domicilio fixo, y su país no está conocido. "|Nación|"[<placename><district key=""SUPE0000"">Reyno del Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Reyno del Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
id_15493|TABIO||"
 TABIO, Pueblo del Corregimiento de Zipaquira en el Nuevo Reyno de Granada, es de temperamento frío, pero con moderación, y muy sano, abundante en toda especie de frutos, tiene dos fuentes que están muy inmediatas una de otra de agua caliente y fría, donde tenían unos célebres baños muy deliciosos los Zipas 9 Reyes de Bogotá quando entraron los Españoles, tendrá 150 Indios y 250 familias de Españoles, y dista 5 leguas al NO de Santa Fe. "|Pueblo|"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15494|TABLACHUCA||"
 TABLACHUCA.Riode la Provincia y Corregimiento de Conchucos  en el Perú, entra en el de Santa. "|Riode|"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUPETACO"">Corregimiento de Conchucos </district></placename>, <placename><district key=""SUPE0000"">el Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Conchucos |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUPETACO'}"", ""el Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
id_15495|TABLADA||"
 TABLADA, Pueblo de la Provincia y Gobierno de  Santa Marta  en el Nuevo Reyno de Granada, situado á orilla del rio de la Magdalena en una Isla que forma un brazo de él. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRNGSM00""> Santa Marta </district></placename>, <placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Santa Marta |{http://www.tei-c.org/ns/1.0}district|{'key': 'PRNGSM00'}"", ""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15496|TABLAS||"
 TABLAS, Pueblo de la jurisdicción y  Alcaldía mayor de Nata  en la Provincia y Gobierno de  Panamá y Reyno de Tierra-Firme, situado cerca de la Costa de la mar del Sur. "|Pueblo|"[<placename><rolename type=""alcaldia_mayor"">Alcaldía mayor</rolename> de <district key=""JUNGPANA"">Nata </district></placename>, <placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRNGPA00""> Panamá</district></placename>, <placename><district key=""AUPA0000"">Reyno de Tierra-Firme</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Alcaldía mayor|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'alcaldia_mayor'}"", ""Nata |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUNGPANA'}"", ""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Panamá|{http://www.tei-c.org/ns/1.0}district|{'key': 'PRNGPA00'}"", ""Reyno de Tierra-Firme|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUPA0000'}""]"
id_15497|O||"
 Otro Pueblo hay del mismo nombre en el Nuevo Reyno de León y América Septentrional, anexo al Curato de la Villa do Cadereita, de quien está muy inmediato por la parte del Oriente. "||"[<placename><district key=""PRGDNL00"">Nuevo Reyno de León</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de León|{http://www.tei-c.org/ns/1.0}district|{'key': 'PRGDNL00'}""]"
id_15498|O||"
 Otro de la Provincia y Corregimiento de Quillota  en el Reyno de Chile, situado cerca de la Costa. "||"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUCHSAQU"">Corregimiento de Quillota </district></placename>, <placename><district key=""AUSA0000"">Reyno de Chile</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Quillota |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUCHSAQU'}"", ""Reyno de Chile|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSA0000'}""]"
id_15499|O||"
 Otro de la Provincia y Gobierno de  Quixos y Macas  en el Reyno de Quito, situado al O del páramo de Sangay. "||"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRQUQJ00""> Quixos y Macas </district></placename>, <placename><district key=""AUQU0000"">Reyno de Quito</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Quixos y Macas |{http://www.tei-c.org/ns/1.0}district|{'key': 'PRQUQJ00'}"", ""Reyno de Quito|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUQU0000'}""]"
id_15500|TABOGA||"
 TABOGA, Isla pequeña de la mar del Sur, 6 leguas distante al Mediodía de la Ciudad de Panamá, tiene una legua de largo y media de ancho, está cubierta de árboles y bosques, y por la parte del N va en declivio suave hasta el mar, donde es la tierra de color negruzco y muy baxa, pero en la cumbre árido; por la parte dicha ofrece una hermosa vista, como si fuera un jardin rodeado de árboles y bosques: sus principales frutos son plátanos, pinas y melones, que se reputan por de la mejor calidad que se conoce: en la playa hay muchísimas palmas de cocos, y en los bosques árboles de mameyes: la parte Meridional se mantiene inculta; del declivio de la montaña baxa un riachuelo de excelente agua, que corriendo por un bosquecillo de frutales sale al mar por la parte del Norte: fue esta Isla Señorío de Hernando de Luque, Dean de la Iglesia de Panamá, que franqueó su caudal en el triunvirato que hizo en esta Ciudad con Francisco Pizarro y Diego de Almagro para el descubrimiento y conquista del Perú: ha sido célebre por la pesquería de perlas que se hacia en ella: tuvo una Población cerca del mar hacia la parte Septentrional que fue arruinada por los piratas el siglo pasado quando infestaron aquellos mares, y estaba una milla distante de una rada en que pueden entrar seguramente las embarcaciones, y fondear en 16 ú 18 pies de agua; hoy solo ha quedado una Iglesia pequeña y algunas chozas repartidas en diferentes haciendas de los veciris de Panamá: está en 8 gr. 31 min. de lat. bor. "|Isla|[]|[]|[]
id_15501|TABOGUILLA||"
 TABOGUILLA, Isleta pequeña de la mar del Sur, situada cerca de la anterior, y en cuya costa también se sacaban perlas, hoy solo produce algunos plátanos, maiz y frutas. "|Isleta|[]|[]|[]
id_15502|TABOLEVO||"
 TABOLEVO, Rio del Reyno de Chile, corre al E, y torciendo luego su curso al N NE entra en el Biobio. "|Rio|"[<placename><district key=""AUSA0000"">Reyno de Chile</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Reyno de Chile|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSA0000'}""]"
id_15503|TABOQUINQUET||"
 TABOQUINQUET, Rio pequeño de la Provincia de Nueva Escocia ó Acadia en los Estados Unidos de la América, corre al E, y sale al mar en el golfo de San Lorenzo, entre el de Tracady y la punta de Portage. "|Rio|[]|[]|[]
id_15504|TABOUY||"
 TABOUY, Pueblo de Indios de la Provincia de Guayana en la parte que poseen los Franceses. "|Pueblo|[]|[]|[]
id_15505|TABUCO||"
 TABUCO, Pueblo pequeño de la Provincia y Alcaldía mayor de Guauchinango   en Nueva España, tiene un mediano Puerto, á cuya entrada está la barra de su nombre que solo permite paso á embarcaciones medianas como las que vienen de Campeche cargadas de sal á comerciar en la Costa, y otras de Vera-Cruz con frutas, así por la poca agua que hay allí, como por haberse hecho un gran banco de arena, pero el Puerto es capaz de contener mas de 50 navios grandes: tiene el Pueblo 122 familias de Indios que se mantienen del comercio del chile, cera común, azúcar, pita y ganado vacuno: es anexo del Curato de Tamapachi. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""alcaldia_mayor"">Alcaldía mayor</rolename> de <district key=""JUNEPUHN"">Guauchinango </district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Alcaldía mayor|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'alcaldia_mayor'}"", ""Guauchinango |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUNEPUHN'}"", ""Nueva España|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUNE0000'}""]"
id_15506|TABUIL||"
 TABUIL, Pueblo de la Provincia y Gobierno del Tucumán en el Perú, y del distrito de su Capital, situado al E de la Ciudad de San Fernando de Catamarca. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> del <district key=""PRRPTU00"">Tucumán</district></placename>, <placename><district key=""SUPE0000"">el Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", ""Tucumán|{http://www.tei-c.org/ns/1.0}district|{'key': 'PRRPTU00'}"", ""el Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
id_15507|TABUYA||"
 TABUYA, Pueblo de la Provincia y Gobierno de  Popayán  en el Nuevo Reyno de Granada. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRQUPO00""> Popayán </district></placename>, <placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Popayán |{http://www.tei-c.org/ns/1.0}district|{'key': 'PRQUPO00'}"", ""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15508|TABUYAS||"
 TABUYAS, Nación bárbara y antigua de Indios de la Provincia de Anserma en el Nuevo Reyno de Granada al E NE, eran feroces y caribes, pero ya se han extinguido enteramente. "|Nación|"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15509|TACABAMBA||"
 TACABAMBA, Pueblo de la Provincia y Corregimiento de Caxamarca  en el Perú, anexo al Curato del de Chota. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUPETRCA"">Corregimiento de Caxamarca </district></placename>, <placename><district key=""SUPE0000"">el Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Caxamarca |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUPETRCA'}"", ""el Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
id_15510|TACALAISO||"
 TACALAISO, Pueblo de la Provincia y Corregimiento de Chichas y Tarija  en el Perú, del partido del Segundo. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUCCPOCH"">Corregimiento de Chichas y Tarija </district></placename>, <placename><district key=""SUPE0000"">el Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Chichas y Tarija |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUCCPOCH'}"", ""el Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
